2026/03/08 00:16:22.046, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.09 W
2026/03/08 00:16:23.046, 94 %, 95 %, 17672 MiB, 24564 MiB, 366.49 W
2026/03/08 00:16:24.046, 94 %, 95 %, 17672 MiB, 24564 MiB, 366.85 W
2026/03/08 00:16:25.047, 0 %, 0 %, 17672 MiB, 24564 MiB, 271.05 W
2026/03/08 00:16:26.047, 0 %, 0 %, 17672 MiB, 24564 MiB, 113.57 W
2026/03/08 00:16:27.047, 0 %, 0 %, 17672 MiB, 24564 MiB, 74.36 W
2026/03/08 00:16:28.048, 0 %, 0 %, 17672 MiB, 24564 MiB, 67.49 W
2026/03/08 00:16:29.048, 69 %, 24 %, 17672 MiB, 24564 MiB, 108.08 W
2026/03/08 00:16:30.077, 96 %, 40 %, 17672 MiB, 24564 MiB, 429.07 W
2026/03/08 00:16:31.078, 95 %, 40 %, 17676 MiB, 24564 MiB, 435.59 W
2026/03/08 00:16:32.078, 95 %, 36 %, 17684 MiB, 24564 MiB, 434.01 W
2026/03/08 00:16:33.082, 95 %, 38 %, 17694 MiB, 24564 MiB, 421.11 W
2026/03/08 00:16:34.082, 95 %, 38 %, 17704 MiB, 24564 MiB, 432.56 W
2026/03/08 00:16:35.084, 94 %, 37 %, 17712 MiB, 24564 MiB, 431.41 W
2026/03/08 00:16:36.084, 97 %, 37 %, 17720 MiB, 24564 MiB, 419.59 W
2026/03/08 00:16:37.085, 94 %, 36 %, 17728 MiB, 24564 MiB, 423.08 W
2026/03/08 00:16:38.085, 85 %, 34 %, 17752 MiB, 24564 MiB, 414.08 W
2026/03/08 00:16:39.085, 95 %, 91 %, 17752 MiB, 24564 MiB, 389.89 W
2026/03/08 00:16:40.086, 95 %, 91 %, 17752 MiB, 24564 MiB, 380.90 W
2026/03/08 00:16:41.086, 95 %, 91 %, 17752 MiB, 24564 MiB, 380.57 W
2026/03/08 00:16:42.086, 94 %, 90 %, 17752 MiB, 24564 MiB, 377.49 W
2026/03/08 00:16:43.087, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.94 W
2026/03/08 00:16:44.087, 94 %, 90 %, 17752 MiB, 24564 MiB, 380.08 W
2026/03/08 00:16:45.087, 94 %, 90 %, 17752 MiB, 24564 MiB, 380.16 W
2026/03/08 00:16:46.088, 95 %, 91 %, 17752 MiB, 24564 MiB, 379.98 W
2026/03/08 00:16:47.088, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.89 W
2026/03/08 00:16:48.088, 94 %, 90 %, 17752 MiB, 24564 MiB, 377.28 W
2026/03/08 00:16:49.089, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.82 W
2026/03/08 00:16:50.089, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.78 W
2026/03/08 00:16:51.089, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.67 W
2026/03/08 00:16:52.090, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.65 W
2026/03/08 00:16:53.090, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.37 W
2026/03/08 00:16:54.090, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.95 W
2026/03/08 00:16:55.090, 94 %, 90 %, 17752 MiB, 24564 MiB, 380.16 W
2026/03/08 00:16:56.091, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.86 W
2026/03/08 00:16:57.091, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.65 W
2026/03/08 00:16:58.091, 95 %, 90 %, 17752 MiB, 24564 MiB, 379.91 W
2026/03/08 00:16:59.092, 94 %, 90 %, 17752 MiB, 24564 MiB, 379.97 W
2026/03/08 00:17:00.092, 90 %, 86 %, 17752 MiB, 24564 MiB, 377.58 W
2026/03/08 00:17:01.092, 95 %, 91 %, 17752 MiB, 24564 MiB, 380.05 W
2026/03/08 00:17:02.093, 94 %, 90 %, 17752 MiB, 24564 MiB, 380.09 W
2026/03/08 00:17:03.093, 94 %, 90 %, 17752 MiB, 24564 MiB, 380.04 W
2026/03/08 00:17:04.093, 95 %, 90 %, 17752 MiB, 24564 MiB, 380.98 W
2026/03/08 00:17:05.094, 93 %, 90 %, 17752 MiB, 24564 MiB, 380.68 W
2026/03/08 00:17:06.094, 90 %, 86 %, 17752 MiB, 24564 MiB, 378.25 W
2026/03/08 00:17:07.094, 94 %, 90 %, 17752 MiB, 24564 MiB, 378.28 W
2026/03/08 00:17:08.095, 57 %, 55 %, 17752 MiB, 24564 MiB, 361.26 W
2026/03/08 00:17:09.095, 0 %, 0 %, 17752 MiB, 24564 MiB, 116.64 W
2026/03/08 00:17:10.095, 0 %, 0 %, 17752 MiB, 24564 MiB, 76.60 W
2026/03/08 00:17:11.096, 0 %, 0 %, 17752 MiB, 24564 MiB, 68.59 W
2026/03/08 00:17:12.096, 0 %, 0 %, 17752 MiB, 24564 MiB, 60.32 W
2026/03/08 00:17:13.096, 0 %, 0 %, 17752 MiB, 24564 MiB, 59.47 W
