2026/03/07 23:25:05.089, 95 %, 97 %, 18712 MiB, 24564 MiB, 333.61 W
2026/03/07 23:25:06.089, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.05 W
2026/03/07 23:25:07.090, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.23 W
2026/03/07 23:25:08.090, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.37 W
2026/03/07 23:25:09.090, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.68 W
2026/03/07 23:25:10.091, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.19 W
2026/03/07 23:25:11.091, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.90 W
2026/03/07 23:25:12.091, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.16 W
2026/03/07 23:25:13.092, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.33 W
2026/03/07 23:25:14.092, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.99 W
2026/03/07 23:25:15.092, 91 %, 92 %, 18712 MiB, 24564 MiB, 335.18 W
2026/03/07 23:25:16.093, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.62 W
2026/03/07 23:25:17.093, 0 %, 0 %, 18712 MiB, 24564 MiB, 244.00 W
2026/03/07 23:25:18.093, 90 %, 39 %, 18712 MiB, 24564 MiB, 130.34 W
2026/03/07 23:25:19.094, 95 %, 97 %, 18712 MiB, 24564 MiB, 340.31 W
2026/03/07 23:25:20.094, 94 %, 96 %, 18712 MiB, 24564 MiB, 330.83 W
2026/03/07 23:25:21.094, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.61 W
2026/03/07 23:25:22.095, 95 %, 97 %, 18712 MiB, 24564 MiB, 333.88 W
2026/03/07 23:25:23.095, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.58 W
2026/03/07 23:25:24.095, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.94 W
2026/03/07 23:25:25.096, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.70 W
2026/03/07 23:25:26.096, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.88 W
2026/03/07 23:25:27.096, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.24 W
2026/03/07 23:25:28.097, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.59 W
2026/03/07 23:25:29.100, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.06 W
2026/03/07 23:25:30.102, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.53 W
2026/03/07 23:25:31.103, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.43 W
2026/03/07 23:25:32.103, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.49 W
2026/03/07 23:25:33.103, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.55 W
2026/03/07 23:25:34.104, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.39 W
2026/03/07 23:25:35.112, 94 %, 96 %, 18712 MiB, 24564 MiB, 339.07 W
2026/03/07 23:25:36.112, 69 %, 70 %, 18712 MiB, 24564 MiB, 327.09 W
2026/03/07 23:25:37.113, 0 %, 0 %, 18712 MiB, 24564 MiB, 105.44 W
2026/03/07 23:25:38.113, 0 %, 0 %, 18712 MiB, 24564 MiB, 66.79 W
2026/03/07 23:25:39.113, 95 %, 97 %, 18712 MiB, 24564 MiB, 288.90 W
2026/03/07 23:25:40.114, 94 %, 96 %, 18712 MiB, 24564 MiB, 339.57 W
2026/03/07 23:25:41.114, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.53 W
2026/03/07 23:25:42.114, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.04 W
2026/03/07 23:25:43.115, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.31 W
2026/03/07 23:25:44.115, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.80 W
2026/03/07 23:25:45.115, 95 %, 97 %, 18712 MiB, 24564 MiB, 344.05 W
2026/03/07 23:25:46.116, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.07 W
2026/03/07 23:25:47.116, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.67 W
2026/03/07 23:25:48.116, 94 %, 96 %, 18712 MiB, 24564 MiB, 345.30 W
2026/03/07 23:25:49.117, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.60 W
2026/03/07 23:25:50.118, 95 %, 97 %, 18712 MiB, 24564 MiB, 346.01 W
2026/03/07 23:25:51.118, 95 %, 97 %, 18712 MiB, 24564 MiB, 346.45 W
2026/03/07 23:25:52.119, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.36 W
2026/03/07 23:25:53.119, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.91 W
2026/03/07 23:25:54.119, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.32 W
2026/03/07 23:25:55.120, 0 %, 0 %, 18712 MiB, 24564 MiB, 262.49 W
2026/03/07 23:25:56.120, 0 %, 0 %, 18712 MiB, 24564 MiB, 110.47 W
2026/03/07 23:25:57.120, 0 %, 0 %, 18712 MiB, 24564 MiB, 65.73 W
2026/03/07 23:25:58.121, 0 %, 0 %, 18712 MiB, 24564 MiB, 59.66 W
2026/03/07 23:25:59.121, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.88 W
2026/03/07 23:26:00.121, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.78 W
2026/03/07 23:26:01.122, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.58 W
2026/03/07 23:26:02.122, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.46 W
2026/03/07 23:26:03.122, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.47 W
2026/03/07 23:26:04.123, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.43 W
2026/03/07 23:26:05.123, 0 %, 0 %, 18712 MiB, 24564 MiB, 53.33 W
2026/03/07 23:26:06.124, 11 %, 0 %, 18714 MiB, 24564 MiB, 53.27 W
2026/03/07 23:26:07.124, 95 %, 97 %, 18714 MiB, 24564 MiB, 324.27 W
2026/03/07 23:26:08.124, 94 %, 96 %, 18714 MiB, 24564 MiB, 342.37 W
2026/03/07 23:26:09.125, 94 %, 96 %, 18714 MiB, 24564 MiB, 341.20 W
2026/03/07 23:26:10.125, 95 %, 97 %, 18714 MiB, 24564 MiB, 344.18 W
2026/03/07 23:26:11.125, 95 %, 97 %, 18714 MiB, 24564 MiB, 344.98 W
2026/03/07 23:26:12.126, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.43 W
2026/03/07 23:26:13.126, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.93 W
2026/03/07 23:26:14.126, 94 %, 96 %, 18714 MiB, 24564 MiB, 346.09 W
2026/03/07 23:26:15.127, 94 %, 96 %, 18714 MiB, 24564 MiB, 344.21 W
2026/03/07 23:26:16.127, 95 %, 97 %, 18714 MiB, 24564 MiB, 346.73 W
2026/03/07 23:26:17.127, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.38 W
2026/03/07 23:26:18.128, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.41 W
2026/03/07 23:26:19.128, 94 %, 96 %, 18714 MiB, 24564 MiB, 347.58 W
2026/03/07 23:26:20.128, 94 %, 96 %, 18714 MiB, 24564 MiB, 348.38 W
2026/03/07 23:26:21.129, 95 %, 97 %, 18714 MiB, 24564 MiB, 346.11 W
2026/03/07 23:26:22.129, 95 %, 97 %, 18714 MiB, 24564 MiB, 348.88 W
2026/03/07 23:26:23.129, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.46 W
2026/03/07 23:26:24.130, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.79 W
2026/03/07 23:26:25.130, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.54 W
2026/03/07 23:26:26.130, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.81 W
2026/03/07 23:26:27.131, 94 %, 96 %, 18714 MiB, 24564 MiB, 348.13 W
2026/03/07 23:26:28.131, 0 %, 0 %, 18714 MiB, 24564 MiB, 154.55 W
2026/03/07 23:26:29.132, 0 %, 0 %, 18714 MiB, 24564 MiB, 103.32 W
2026/03/07 23:26:30.132, 0 %, 0 %, 18714 MiB, 24564 MiB, 66.53 W
2026/03/07 23:26:31.133, 0 %, 0 %, 18714 MiB, 24564 MiB, 60.42 W
2026/03/07 23:26:32.133, 64 %, 26 %, 18714 MiB, 24564 MiB, 70.62 W
2026/03/07 23:26:33.133, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.23 W
2026/03/07 23:26:34.134, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.43 W
2026/03/07 23:26:35.134, 95 %, 97 %, 18714 MiB, 24564 MiB, 348.81 W
2026/03/07 23:26:36.134, 95 %, 97 %, 18714 MiB, 24564 MiB, 348.59 W
2026/03/07 23:26:37.135, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.01 W
2026/03/07 23:26:38.135, 94 %, 96 %, 18714 MiB, 24564 MiB, 346.86 W
