ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786934837.8731909,17702.0,6515.0,97.0,373.24,75.0,
1786934838.8961778,17702.0,6515.0,97.0,373.28,75.0,
1786934839.918659,17702.0,6515.0,97.0,373.72,75.0,
1786934840.939747,17702.0,6515.0,97.0,371.29,75.0,
1786934841.9644487,17702.0,6515.0,97.0,373.63,75.0,
1786934842.9864023,17702.0,6515.0,97.0,373.98,75.0,
1786934844.009721,17702.0,6515.0,97.0,374.11,75.0,
1786934845.034593,17702.0,6515.0,97.0,373.86,75.0,
1786934846.0629108,17702.0,6515.0,97.0,371.8,75.0,
1786934847.0856447,17702.0,6515.0,97.0,375.42,75.0,
1786934848.109927,17702.0,6515.0,97.0,378.87,76.0,
1786934849.1347008,17702.0,6515.0,97.0,378.83,76.0,
1786934850.162174,17702.0,6515.0,97.0,379.07,76.0,
1786934851.1866398,17702.0,6515.0,96.0,378.2,76.0,
1786934852.209232,17702.0,6515.0,97.0,376.06,76.0,
1786934853.2323751,17702.0,6515.0,97.0,378.94,76.0,
1786934854.2563722,17702.0,6515.0,97.0,378.86,76.0,
1786934855.275974,17702.0,6515.0,97.0,378.98,76.0,
1786934856.2960415,17702.0,6515.0,97.0,378.95,76.0,
1786934857.3158755,17702.0,6515.0,92.0,376.45,76.0,
1786934858.335803,17702.0,6515.0,97.0,376.46,76.0,
1786934859.3559022,17702.0,6515.0,97.0,379.61,76.0,
1786934860.3749778,17702.0,6515.0,97.0,379.63,76.0,
1786934861.3947618,17702.0,6515.0,97.0,379.7,76.0,
1786934862.414683,17702.0,6515.0,97.0,380.17,76.0,
1786934863.4346693,17702.0,6515.0,97.0,377.81,76.0,
1786934864.4546468,17702.0,6515.0,97.0,380.09,76.0,
1786934865.5044866,17702.0,6515.0,97.0,293.9,75.0,
1786934866.5229237,17702.0,6515.0,97.0,377.52,76.0,
1786934867.543036,17702.0,6515.0,97.0,377.82,76.0,
1786934868.562885,17702.0,6515.0,97.0,378.23,76.0,
1786934869.5832527,17702.0,6515.0,91.0,373.83,76.0,
1786934870.6030295,17702.0,6515.0,97.0,378.39,76.0,
1786934871.6231873,17702.0,6515.0,97.0,343.17,76.0,
1786934872.6433403,17702.0,6515.0,97.0,378.38,76.0,
1786934873.6631975,17702.0,6515.0,97.0,378.59,76.0,
1786934874.6833203,17702.0,6515.0,97.0,378.55,76.0,
1786934875.7033923,17702.0,6515.0,97.0,374.64,76.0,
1786934876.7233,17702.0,6515.0,97.0,379.04,76.0,
1786934877.7435262,17702.0,6515.0,97.0,379.68,76.0,
1786934878.7634652,17702.0,6515.0,97.0,379.53,76.0,
1786934879.7836115,17702.0,6515.0,97.0,379.77,76.0,
1786934880.8039982,17702.0,6515.0,92.0,377.18,76.0,
1786934881.8242652,17702.0,6515.0,97.0,379.45,77.0,
1786934882.8501458,17702.0,6515.0,97.0,379.78,76.0,
1786934883.8715484,17702.0,6515.0,97.0,379.44,76.0,
1786934884.8915868,17702.0,6515.0,97.0,379.94,76.0,
1786934885.911699,17702.0,6515.0,97.0,379.92,77.0,
1786934886.9319324,17702.0,6515.0,97.0,377.31,77.0,
1786934887.9521387,17702.0,6515.0,97.0,379.81,77.0,
1786934888.9729717,17702.0,6515.0,97.0,380.2,77.0,
1786934889.993334,17702.0,6515.0,97.0,380.28,77.0,
1786934891.0132205,17702.0,6515.0,97.0,380.11,77.0,
1786934892.0332532,17702.0,6515.0,97.0,380.04,77.0,
1786934893.0535567,17702.0,6515.0,97.0,377.94,77.0,
1786934894.0731764,17702.0,6515.0,72.0,355.51,75.0,
1786934895.094128,17702.0,6515.0,97.0,345.14,77.0,
1786934896.1157982,17702.0,6515.0,97.0,379.76,77.0,
1786934897.1368818,17702.0,6515.0,97.0,380.01,77.0,
1786934898.1579494,17702.0,6515.0,90.0,375.46,77.0,
1786934899.1804268,17702.0,6515.0,97.0,379.95,77.0,
1786934900.2051082,17702.0,6515.0,97.0,380.27,77.0,
1786934901.225261,17702.0,6515.0,97.0,380.33,77.0,
1786934902.2462935,17702.0,6515.0,97.0,379.74,77.0,
1786934903.2647512,17702.0,6515.0,97.0,379.71,77.0,
1786934904.2859344,17702.0,6515.0,97.0,377.15,77.0,
1786934905.3084378,17702.0,6515.0,97.0,380.35,77.0,
1786934906.3288028,17702.0,6515.0,97.0,380.26,77.0,
1786934907.3494353,17702.0,6515.0,97.0,380.5,77.0,
1786934908.3699152,17702.0,6515.0,97.0,380.77,77.0,
1786934909.3922088,17702.0,6515.0,97.0,380.18,77.0,
1786934910.4143944,17702.0,6515.0,97.0,378.99,77.0,
1786934911.4320896,17702.0,6515.0,97.0,381.49,77.0,
1786934912.452984,17702.0,6515.0,97.0,381.3,77.0,
1786934913.4748666,17702.0,6515.0,97.0,381.43,77.0,
1786934914.500922,17702.0,6515.0,97.0,381.27,77.0,
1786934915.522245,17702.0,6515.0,97.0,379.41,77.0,
1786934916.5449846,17702.0,6515.0,97.0,382.31,77.0,
1786934917.5665193,17702.0,6515.0,97.0,382.28,77.0,
1786934918.588967,17702.0,6515.0,97.0,382.52,77.0,
1786934919.610262,17702.0,6515.0,97.0,382.35,77.0,
1786934920.636305,17702.0,6515.0,97.0,382.13,77.0,
1786934921.6593125,17702.0,6515.0,96.0,379.51,77.0,
1786934922.6814337,17702.0,6515.0,97.0,382.43,77.0,
1786934923.7020319,17702.0,6515.0,97.0,382.68,77.0,
1786934924.7252138,17702.0,6515.0,97.0,382.87,77.0,
1786934925.7469943,17702.0,6515.0,97.0,382.92,77.0,
1786934926.7698178,17702.0,6515.0,92.0,380.4,77.0,
1786934927.7974157,17702.0,6515.0,97.0,383.29,77.0,
1786934928.8189569,17702.0,6515.0,97.0,383.03,77.0,
1786934929.8415685,17702.0,6515.0,97.0,383.39,78.0,
1786934930.8651576,17702.0,6515.0,97.0,383.44,78.0,
1786934931.8871841,17702.0,6515.0,97.0,383.28,78.0,
1786934932.9105237,17702.0,6515.0,97.0,381.21,77.0,
1786934933.9361148,17702.0,6515.0,97.0,384.03,77.0,
1786934934.9582667,17702.0,6515.0,97.0,383.95,78.0,
1786934935.98155,17702.0,6515.0,97.0,383.69,78.0,
1786934937.0057702,17702.0,6515.0,97.0,383.86,78.0,
1786934938.0327196,17702.0,6515.0,95.0,383.09,77.0,
1786934939.055467,17702.0,6515.0,97.0,381.78,78.0,
