2026/03/08 00:26:16.639, 92 %, 29 %, 22722 MiB, 24564 MiB, 427.51 W
2026/03/08 00:26:17.640, 100 %, 35 %, 22730 MiB, 24564 MiB, 408.79 W
2026/03/08 00:26:18.640, 100 %, 34 %, 22736 MiB, 24564 MiB, 400.85 W
2026/03/08 00:26:19.640, 100 %, 35 %, 22742 MiB, 24564 MiB, 416.63 W
2026/03/08 00:26:20.641, 93 %, 31 %, 22748 MiB, 24564 MiB, 419.23 W
2026/03/08 00:26:21.641, 93 %, 28 %, 22754 MiB, 24564 MiB, 417.66 W
2026/03/08 00:26:22.641, 91 %, 28 %, 22760 MiB, 24564 MiB, 419.57 W
2026/03/08 00:26:23.642, 91 %, 27 %, 22766 MiB, 24564 MiB, 421.11 W
2026/03/08 00:26:24.642, 98 %, 33 %, 22772 MiB, 24564 MiB, 413.20 W
2026/03/08 00:26:25.642, 100 %, 33 %, 22778 MiB, 24564 MiB, 421.69 W
2026/03/08 00:26:26.643, 100 %, 33 %, 22784 MiB, 24564 MiB, 409.20 W
2026/03/08 00:26:27.643, 100 %, 34 %, 22790 MiB, 24564 MiB, 412.07 W
2026/03/08 00:26:28.643, 96 %, 31 %, 22794 MiB, 24564 MiB, 416.86 W
2026/03/08 00:26:29.646, 84 %, 22 %, 22800 MiB, 24564 MiB, 406.04 W
2026/03/08 00:26:30.646, 91 %, 27 %, 22806 MiB, 24564 MiB, 423.86 W
2026/03/08 00:26:31.646, 92 %, 28 %, 22812 MiB, 24564 MiB, 415.79 W
2026/03/08 00:26:32.647, 100 %, 33 %, 22818 MiB, 24564 MiB, 410.26 W
2026/03/08 00:26:33.647, 99 %, 30 %, 22822 MiB, 24564 MiB, 420.55 W
2026/03/08 00:26:34.647, 90 %, 27 %, 22828 MiB, 24564 MiB, 419.40 W
2026/03/08 00:26:35.648, 100 %, 33 %, 22834 MiB, 24564 MiB, 408.45 W
2026/03/08 00:26:36.648, 100 %, 33 %, 22840 MiB, 24564 MiB, 420.11 W
2026/03/08 00:26:37.648, 90 %, 26 %, 22844 MiB, 24564 MiB, 420.86 W
2026/03/08 00:26:38.649, 91 %, 27 %, 22850 MiB, 24564 MiB, 414.83 W
2026/03/08 00:26:39.649, 100 %, 32 %, 22856 MiB, 24564 MiB, 419.33 W
2026/03/08 00:26:40.649, 90 %, 26 %, 22860 MiB, 24564 MiB, 414.74 W
2026/03/08 00:26:41.650, 100 %, 32 %, 22866 MiB, 24564 MiB, 406.59 W
2026/03/08 00:26:42.650, 90 %, 24 %, 22870 MiB, 24564 MiB, 417.46 W
2026/03/08 00:26:43.650, 91 %, 26 %, 22876 MiB, 24564 MiB, 420.07 W
2026/03/08 00:26:44.651, 99 %, 32 %, 22880 MiB, 24564 MiB, 423.94 W
2026/03/08 00:26:45.651, 90 %, 24 %, 22886 MiB, 24564 MiB, 415.08 W
2026/03/08 00:26:46.652, 100 %, 31 %, 22892 MiB, 24564 MiB, 416.56 W
2026/03/08 00:26:47.652, 82 %, 19 %, 22896 MiB, 24564 MiB, 400.89 W
2026/03/08 00:26:48.652, 100 %, 32 %, 22900 MiB, 24564 MiB, 431.71 W
2026/03/08 00:26:49.653, 90 %, 24 %, 22906 MiB, 24564 MiB, 416.19 W
2026/03/08 00:26:50.653, 99 %, 31 %, 22910 MiB, 24564 MiB, 431.98 W
2026/03/08 00:26:51.653, 90 %, 28 %, 22916 MiB, 24564 MiB, 422.69 W
2026/03/08 00:26:52.654, 93 %, 25 %, 22920 MiB, 24564 MiB, 414.26 W
2026/03/08 00:26:53.654, 100 %, 31 %, 22926 MiB, 24564 MiB, 412.99 W
2026/03/08 00:26:54.654, 89 %, 24 %, 22930 MiB, 24564 MiB, 405.18 W
2026/03/08 00:26:55.655, 100 %, 31 %, 22934 MiB, 24564 MiB, 416.48 W
2026/03/08 00:26:56.665, 90 %, 27 %, 22940 MiB, 24564 MiB, 410.91 W
2026/03/08 00:26:57.665, 89 %, 23 %, 22944 MiB, 24564 MiB, 418.92 W
2026/03/08 00:26:58.666, 100 %, 30 %, 22950 MiB, 24564 MiB, 426.59 W
2026/03/08 00:26:59.666, 89 %, 23 %, 22954 MiB, 24564 MiB, 409.87 W
2026/03/08 00:27:00.666, 78 %, 20 %, 22958 MiB, 24564 MiB, 423.74 W
2026/03/08 00:27:01.667, 100 %, 31 %, 22962 MiB, 24564 MiB, 415.27 W
2026/03/08 00:27:02.684, 100 %, 30 %, 22968 MiB, 24564 MiB, 408.11 W
2026/03/08 00:27:03.684, 88 %, 22 %, 22972 MiB, 24564 MiB, 400.71 W
2026/03/08 00:27:04.685, 86 %, 22 %, 22976 MiB, 24564 MiB, 425.12 W
2026/03/08 00:27:05.689, 100 %, 30 %, 22982 MiB, 24564 MiB, 404.76 W
2026/03/08 00:27:06.690, 100 %, 30 %, 22986 MiB, 24564 MiB, 390.86 W
2026/03/08 00:27:07.690, 88 %, 22 %, 22990 MiB, 24564 MiB, 401.73 W
2026/03/08 00:27:08.690, 88 %, 22 %, 22994 MiB, 24564 MiB, 412.46 W
2026/03/08 00:27:09.691, 99 %, 29 %, 22998 MiB, 24564 MiB, 422.82 W
2026/03/08 00:27:10.698, 100 %, 30 %, 23004 MiB, 24564 MiB, 416.11 W
2026/03/08 00:27:11.699, 100 %, 30 %, 23008 MiB, 24564 MiB, 405.39 W
2026/03/08 00:27:12.699, 99 %, 26 %, 23012 MiB, 24564 MiB, 403.52 W
2026/03/08 00:27:13.699, 100 %, 30 %, 23016 MiB, 24564 MiB, 413.07 W
2026/03/08 00:27:14.700, 100 %, 30 %, 23020 MiB, 24564 MiB, 417.14 W
2026/03/08 00:27:15.700, 100 %, 30 %, 23024 MiB, 24564 MiB, 408.45 W
2026/03/08 00:27:16.700, 100 %, 30 %, 23030 MiB, 24564 MiB, 411.89 W
2026/03/08 00:27:17.701, 100 %, 29 %, 23034 MiB, 24564 MiB, 420.21 W
2026/03/08 00:27:18.715, 87 %, 20 %, 23038 MiB, 24564 MiB, 401.27 W
2026/03/08 00:27:19.716, 87 %, 21 %, 23042 MiB, 24564 MiB, 399.01 W
2026/03/08 00:27:20.716, 99 %, 29 %, 23046 MiB, 24564 MiB, 418.70 W
2026/03/08 00:27:21.717, 100 %, 29 %, 23050 MiB, 24564 MiB, 418.98 W
2026/03/08 00:27:22.717, 85 %, 20 %, 23054 MiB, 24564 MiB, 417.24 W
2026/03/08 00:27:23.717, 87 %, 21 %, 23058 MiB, 24564 MiB, 409.74 W
2026/03/08 00:27:24.721, 100 %, 29 %, 23062 MiB, 24564 MiB, 416.51 W
2026/03/08 00:27:25.724, 100 %, 29 %, 23066 MiB, 24564 MiB, 416.70 W
2026/03/08 00:27:26.724, 100 %, 29 %, 23070 MiB, 24564 MiB, 418.86 W
2026/03/08 00:27:27.725, 99 %, 27 %, 23074 MiB, 24564 MiB, 413.28 W
2026/03/08 00:27:28.725, 99 %, 30 %, 23078 MiB, 24564 MiB, 418.53 W
2026/03/08 00:27:29.725, 100 %, 30 %, 23084 MiB, 24564 MiB, 418.07 W
2026/03/08 00:27:30.751, 100 %, 28 %, 23086 MiB, 24564 MiB, 417.61 W
2026/03/08 00:27:31.751, 100 %, 29 %, 23090 MiB, 24564 MiB, 398.48 W
2026/03/08 00:27:32.752, 100 %, 30 %, 23094 MiB, 24564 MiB, 416.53 W
2026/03/08 00:27:33.752, 100 %, 29 %, 23098 MiB, 24564 MiB, 414.39 W
2026/03/08 00:27:34.752, 100 %, 30 %, 23102 MiB, 24564 MiB, 410.20 W
2026/03/08 00:27:35.753, 100 %, 29 %, 23106 MiB, 24564 MiB, 414.58 W
2026/03/08 00:27:36.753, 100 %, 30 %, 23110 MiB, 24564 MiB, 413.24 W
2026/03/08 00:27:37.754, 100 %, 28 %, 23114 MiB, 24564 MiB, 406.05 W
2026/03/08 00:27:38.754, 100 %, 29 %, 23118 MiB, 24564 MiB, 414.59 W
2026/03/08 00:27:39.754, 100 %, 29 %, 23122 MiB, 24564 MiB, 403.61 W
2026/03/08 00:27:40.755, 99 %, 28 %, 23126 MiB, 24564 MiB, 410.61 W
2026/03/08 00:27:41.755, 99 %, 24 %, 23130 MiB, 24564 MiB, 413.13 W
2026/03/08 00:27:42.755, 86 %, 19 %, 23134 MiB, 24564 MiB, 412.23 W
2026/03/08 00:27:43.756, 86 %, 19 %, 23138 MiB, 24564 MiB, 406.20 W
2026/03/08 00:27:44.756, 86 %, 18 %, 23142 MiB, 24564 MiB, 402.46 W
2026/03/08 00:27:45.756, 87 %, 21 %, 23146 MiB, 24564 MiB, 393.83 W
2026/03/08 00:27:46.757, 100 %, 29 %, 23150 MiB, 24564 MiB, 405.99 W
2026/03/08 00:27:47.757, 100 %, 29 %, 23152 MiB, 24564 MiB, 398.86 W
2026/03/08 00:27:48.757, 100 %, 29 %, 23156 MiB, 24564 MiB, 410.52 W
