ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935211.585067,18580.0,5637.0,70.0,346.07,77.0,
1786935212.610816,18580.0,5637.0,88.0,376.45,76.0,
1786935213.6599066,18580.0,5637.0,51.0,295.11,76.0,
1786935214.6814728,18580.0,5637.0,78.0,341.37,77.0,
1786935215.7085936,18580.0,5637.0,83.0,356.9,76.0,
1786935216.7302039,18580.0,5637.0,79.0,348.6,76.0,
1786935217.7517233,18580.0,5637.0,86.0,370.95,75.0,
1786935218.7728941,18580.0,5637.0,81.0,354.33,76.0,
1786935219.7946594,18580.0,5637.0,82.0,371.42,75.0,
1786935220.8166275,18580.0,5637.0,79.0,345.8,77.0,
1786935221.8383718,18580.0,5637.0,82.0,368.88,76.0,
1786935222.8613682,18580.0,5637.0,84.0,399.39,76.0,
1786935223.8799076,18580.0,5637.0,80.0,357.09,75.0,
1786935224.9010348,18580.0,5637.0,84.0,354.17,73.0,
1786935225.926604,18580.0,5637.0,84.0,368.13,76.0,
1786935226.955439,18580.0,5637.0,81.0,354.94,76.0,
1786935227.9779284,18580.0,5637.0,83.0,363.43,76.0,
1786935229.005455,18580.0,5637.0,75.0,350.86,77.0,
1786935230.0287237,18580.0,5637.0,83.0,373.76,76.0,
1786935231.0505536,18580.0,5637.0,81.0,375.92,79.0,
1786935232.0732524,18580.0,5637.0,77.0,378.27,76.0,
1786935233.0941856,18580.0,5637.0,86.0,370.79,76.0,
1786935234.1143577,18580.0,5637.0,83.0,388.38,79.0,
1786935235.142352,18580.0,5637.0,84.0,378.57,77.0,
1786935236.1653218,18580.0,5637.0,87.0,372.27,78.0,
1786935237.186286,18580.0,5637.0,86.0,399.65,80.0,
1786935238.2095456,18580.0,5637.0,83.0,390.65,78.0,
1786935239.2338812,18580.0,5637.0,83.0,381.42,76.0,
1786935240.2581532,18580.0,5637.0,81.0,357.16,77.0,
1786935241.28302,18580.0,5637.0,49.0,289.83,75.0,
1786935242.3061616,18580.0,5637.0,78.0,334.02,77.0,
1786935243.329105,18580.0,5637.0,89.0,360.44,77.0,
1786935244.3506072,18580.0,5637.0,78.0,341.88,76.0,
1786935245.3737671,18580.0,5637.0,82.0,349.55,74.0,
1786935246.401396,18580.0,5637.0,83.0,326.46,74.0,
1786935247.423345,18580.0,5637.0,82.0,355.61,77.0,
1786935248.446134,18580.0,5637.0,83.0,331.79,76.0,
1786935249.4695065,18580.0,5637.0,76.0,344.07,75.0,
1786935250.493181,18580.0,5637.0,84.0,347.12,75.0,
1786935251.520037,18580.0,5637.0,84.0,351.49,74.0,
1786935252.540952,18580.0,5637.0,80.0,349.14,75.0,
1786935253.5638442,18580.0,5637.0,75.0,346.72,76.0,
1786935254.582436,18580.0,5637.0,80.0,340.89,77.0,
1786935255.6026196,18580.0,5637.0,81.0,351.91,76.0,
1786935256.6222765,18580.0,5637.0,81.0,372.01,73.0,
1786935257.6424043,18580.0,5637.0,77.0,337.12,77.0,
1786935258.6622508,18580.0,5637.0,81.0,350.6,77.0,
1786935259.6823475,18580.0,5637.0,76.0,353.48,76.0,
1786935260.7025409,18580.0,5637.0,84.0,356.79,76.0,
1786935261.7227058,18580.0,5637.0,81.0,357.57,77.0,
1786935262.7425191,18580.0,5637.0,83.0,349.16,77.0,
1786935263.762583,18580.0,5637.0,86.0,386.45,79.0,
1786935264.7828944,18580.0,5637.0,82.0,327.31,76.0,
1786935265.8028018,18580.0,5637.0,81.0,349.41,76.0,
1786935266.822926,18580.0,5637.0,80.0,352.87,76.0,
1786935267.8431277,18580.0,5637.0,87.0,366.37,78.0,
1786935268.8632448,18580.0,5637.0,84.0,359.18,77.0,
1786935269.8835783,18580.0,5637.0,85.0,371.0,78.0,
1786935270.9032674,18580.0,5637.0,78.0,346.31,77.0,
1786935271.9232152,18580.0,5637.0,86.0,362.04,78.0,
1786935272.9429774,18580.0,5637.0,89.0,399.66,77.0,
1786935273.963069,18580.0,5637.0,79.0,367.17,77.0,
1786935274.9840615,18580.0,5637.0,84.0,352.31,79.0,
1786935276.0040627,18580.0,5637.0,89.0,370.63,78.0,
1786935277.0298219,18580.0,5637.0,76.0,354.15,76.0,
1786935278.0513034,18580.0,5637.0,79.0,356.0,76.0,
1786935279.0710669,18580.0,5637.0,78.0,362.65,76.0,
1786935280.0918677,18580.0,5637.0,87.0,368.09,79.0,
1786935281.1128325,18580.0,5637.0,76.0,366.07,78.0,
1786935282.1330533,18580.0,5637.0,84.0,395.1,76.0,
1786935283.152918,18580.0,5637.0,85.0,357.38,78.0,
1786935284.1730871,18580.0,5637.0,87.0,388.43,77.0,
1786935285.1929376,18580.0,5637.0,75.0,385.84,78.0,
1786935286.2126322,18580.0,5637.0,83.0,356.79,78.0,
1786935287.232852,18580.0,5637.0,91.0,401.31,76.0,
1786935288.2529106,18580.0,5637.0,85.0,396.25,75.0,
1786935289.2733917,18580.0,5637.0,77.0,373.49,80.0,
1786935290.2927608,18580.0,5637.0,82.0,372.0,75.0,
